Date     NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
192607   1.31  15.07   4.39  -1.30   2.84   0.83  -0.13   1.11   6.89   1.88
192608   3.70   3.09   2.46   3.13   2.37   2.17  -0.95   3.59  -2.07   4.00
192609   0.43   4.48   0.56  -3.86  -1.17   0.89   0.02   0.52   1.65  -0.15
192610  -1.47  -8.47  -3.92  -0.90  -4.64  -0.11  -2.54  -1.20  -2.88  -3.11
192611   4.92  -2.37   3.71  -0.62   4.46   1.63   5.90   4.78   3.31   1.65
192612   0.04   9.56   2.72   2.21  -0.83   0.51   0.43  -0.68  -0.67   2.52
192701  -0.90  -1.17  -0.37   1.08  -1.20   1.88  -2.79   4.43  -1.99   1.19
192702   3.01   8.02   5.48   0.98   4.20   3.97   3.11   1.08   4.13   4.68
192703   1.86   1.34   0.79  -6.52   0.64   4.16  -0.58   0.81  -0.06   0.75
192704   3.20   2.93   0.49  -5.39   5.40  -2.13   3.82   2.16   1.46   0.73
192705   7.89   4.57   4.93   4.31   7.02   3.35   2.23   3.48   8.83   5.97
192706  -2.46  -3.25  -3.66  -3.64   2.46  -3.47  -0.79   0.23  -3.96  -2.72
192707   4.64  12.82  11.79   2.71  12.16   3.73   9.59   9.30   4.97   5.71
192708   2.53   6.29   2.49  -0.64   5.42   0.43   6.93  -0.28   3.09  -1.41
192709   4.59   5.45   4.27   2.95   0.60   5.21   7.34   5.46   7.93   4.05
192710  -0.98  -4.53  -6.92  -2.31  -7.27  -2.09  -5.16   4.30  -4.60  -3.96
192711   6.57   4.41  10.24   3.74  10.51   2.83  11.28   3.12   5.99   4.14
192712   1.52   7.54   2.58  -0.10   0.59   0.09  -0.83  -0.77   1.95   1.28
192801   0.42  -3.49  -0.81  -2.02  -0.42   0.29  -1.07   2.25   5.58  -1.25
192802  -4.47   0.56  -2.24  -0.75  -0.72  -0.30  -1.52  -1.58  -0.97  -2.35
192803   3.72  27.30   7.65   5.03  18.83   0.71   8.29   9.90   6.35   5.61
192804  -0.60   1.35   1.28  15.01   2.21   3.22  -0.40   2.14  10.64   3.99
192805   0.66   4.44   3.24  -5.73   2.08   6.61   3.67   8.55   1.25  -0.30
192806  -5.06  -4.25  -5.53  -4.32  -5.80  -6.41  -3.53  -3.57  -3.65  -4.92
192807   1.55   0.75   1.76   0.94   0.63  -1.28   5.25   2.25  -1.55  -0.61
192808   5.79   8.53   8.19   1.92   9.54   4.55  13.23  13.84   6.12   4.30
192809   0.67   7.70   3.86   5.07   0.15  -1.09   0.05  -1.36   3.61   0.64
192810   0.72  -0.04   4.13   1.93   1.80   2.96   5.74  -0.07  -2.16  -0.64
192811   6.37   3.30  12.49  16.57  19.37   6.68  15.00   4.40  21.64   9.58
192812  -1.22  -1.42   2.66  -4.50   6.48  -1.52  -1.42  -0.62   1.37  -0.17
192901   3.18   1.19  10.81  -7.73  10.46  13.37  -4.02   3.30  12.93   5.37
192902  -3.07  -0.63   3.21  -0.54  -0.90  -1.15  -2.69  -0.58  -2.19  -0.27
192903  -5.14  -2.04  -2.31  10.41   4.11   3.26  -5.27  -1.75  -3.36  -2.62
192904   1.63  -1.10   2.15   0.63   1.78   3.39   3.42   1.36   4.88   0.33
192905  -4.22 -15.98 -10.24  -6.02   0.20  -8.77  -8.79  -8.47   4.58  -0.50
192906   4.83   6.88  13.22   0.84  16.65  12.62   9.29   4.24  23.32   5.31
192907   2.99  -3.17   3.84   0.01   9.24  13.68   0.79   2.48   9.00   6.37
192908   4.49   2.34   9.12  10.90  12.44  10.98   7.53   2.50   8.66   7.49
192909  -4.07  -8.56  -7.44  -3.18  -7.77  -2.13  -5.51  -7.38   1.22  -6.79
192910 -10.87 -29.13 -19.87 -10.22 -27.86 -15.39 -24.18 -18.15 -30.13 -12.11
192911  -8.81 -18.66 -14.68  -6.91 -19.38  -9.47 -13.06  -8.66 -14.95  -9.87
192912  -0.02   4.44   1.00  -1.48  10.14   0.00  -6.14   0.43   7.62  -1.30
193001   5.40   5.73   6.52  -0.97  10.61   1.19   4.45   2.36   7.07   4.52
193002   1.80   1.34   1.81  -5.03   7.60   7.06  -5.56   2.46   8.17   2.98
193003   1.48  10.93   6.44  17.65   7.62   7.86  -2.68   5.44   9.62   4.44
193004   0.31  -7.98  -7.73   6.25   1.97  -4.52   2.11  -1.33   3.19  -6.58
193005   1.07   3.08  -2.08  -4.18  -4.51   0.40  -0.39  -2.25  -1.65  -1.39
193006 -11.59 -22.66 -16.82 -15.74 -20.22  -9.33 -16.47 -13.94 -19.16 -12.33
